datetime,depth,temp
2012-04-17 12:00:00,15,9.9
2012-04-17 12:00:00,16,9.9
2012-04-17 12:00:00,17,9.9
2012-04-17 12:00:00,18,9.9
2012-04-17 12:00:00,19,9.8
2012-04-17 12:00:00,20,9.8
2012-04-17 12:00:00,21,9.7
2012-04-17 12:00:00,22,9.7
2012-04-17 12:00:00,23,9.7
2012-04-17 12:00:00,24,9.7
2012-04-17 12:00:00,24.3,9.7
2012-05-01 12:00:00,0,10.9
2012-05-01 12:00:00,1,10.9
2012-05-01 12:00:00,2,10.9
2012-05-01 12:00:00,3,10.8
2012-05-01 12:00:00,4,10.7
2012-05-01 12:00:00,5,10.5
2012-05-01 12:00:00,6,10.5
2012-05-01 12:00:00,7,10.5
2012-05-01 12:00:00,8,10.5
2012-05-01 12:00:00,9,10.4
2012-05-01 12:00:00,10,10.4
2012-05-01 12:00:00,11,10.4
2012-05-01 12:00:00,12,10.4
2012-05-01 12:00:00,13,10.4
2012-05-01 12:00:00,14,10.4
2012-05-01 12:00:00,15,10.4
2012-05-01 12:00:00,16,10.4
2012-05-01 12:00:00,17,10.4
2012-05-01 12:00:00,18,10.4
2012-05-01 12:00:00,19,10.4
2012-05-01 12:00:00,20,10.3
2012-05-01 12:00:00,21,10.3
2012-05-01 12:00:00,22,10.3
2012-05-01 12:00:00,23,10.3
2012-05-01 12:00:00,24,10.3
2012-05-01 12:00:00,24.4,10.3
2012-05-14 12:00:00,0,16.1
2012-05-14 12:00:00,1,15.7
2012-05-14 12:00:00,2,14.6
2012-05-14 12:00:00,3,14.5
2012-05-14 12:00:00,4,14.5
2012-05-14 12:00:00,5,14.4
2012-05-14 12:00:00,6,14.3
2012-05-14 12:00:00,7,14.3
2012-05-14 12:00:00,8,14.2
2012-05-14 12:00:00,9,14
2012-05-14 12:00:00,10,13.8
2012-05-14 12:00:00,11,13.6
2012-05-14 12:00:00,12,13.2
2012-05-14 12:00:00,13,13
2012-05-14 12:00:00,14,12.2
2012-05-14 12:00:00,15,11.4
2012-05-14 12:00:00,16,11
2012-05-14 12:00:00,17,10.7
2012-05-14 12:00:00,18,10.5
2012-05-14 12:00:00,19,10.5
2012-05-14 12:00:00,20,10.5
2012-05-14 12:00:00,21,10.4
2012-05-14 12:00:00,22,10.4
2012-05-14 12:00:00,23,10.4
2012-05-14 12:00:00,24,10.4
2012-05-14 12:00:00,24.5,10.4
2012-05-29 12:00:00,0,19.2
2012-05-29 12:00:00,1,19.2
2012-05-29 12:00:00,2,19.2
2012-05-29 12:00:00,3,19.2
2012-05-29 12:00:00,4,19.2
2012-05-29 12:00:00,5,19.2
2012-05-29 12:00:00,6,19.1
2012-05-29 12:00:00,7,19.1
2012-05-29 12:00:00,8,19.1
2012-05-29 12:00:00,8.5,19.1
2012-05-29 12:00:00,9,19
2012-05-29 12:00:00,9.5,18.6
2012-05-29 12:00:00,10,18
2012-05-29 12:00:00,10.5,17.5
2012-05-29 12:00:00,11,16.6
2012-05-29 12:00:00,11.5,15.3
2012-05-29 12:00:00,12,14
2012-05-29 12:00:00,13,13.4
2012-05-29 12:00:00,14,12.5
2012-05-29 12:00:00,15,12.1
2012-05-29 12:00:00,16,11.9
2012-05-29 12:00:00,17,11.5
2012-05-29 12:00:00,18,11.2
2012-05-29 12:00:00,19,11.1
2012-05-29 12:00:00,20,11.1
2012-05-29 12:00:00,21,11
2012-05-29 12:00:00,22,11
2012-05-29 12:00:00,22.8,11
2012-06-11 12:00:00,0,21.3
2012-06-11 12:00:00,1,21.3
2012-06-11 12:00:00,2,21.3
2012-06-11 12:00:00,3,21.3
2012-06-11 12:00:00,4,21.1
2012-06-11 12:00:00,5,21.1
2012-06-11 12:00:00,6,21.1
2012-06-11 12:00:00,7,21.1
2012-06-11 12:00:00,8,20.5
2012-06-11 12:00:00,8.5,19.2
2012-06-11 12:00:00,9,18.4
2012-06-11 12:00:00,9.5,17.7
2012-06-11 12:00:00,10,17.4
2012-06-11 12:00:00,10.5,17.2
2012-06-11 12:00:00,11,16.9
2012-06-11 12:00:00,11.5,16.6
2012-06-11 12:00:00,12,14.6
2012-06-11 12:00:00,12.5,13.8
2012-06-11 12:00:00,13,13.1
2012-06-11 12:00:00,14,12.9
2012-06-11 12:00:00,15,12.5
2012-06-11 12:00:00,16,12
2012-06-11 12:00:00,17,11.7
2012-06-11 12:00:00,18,11.5
2012-06-11 12:00:00,19,11.4
2012-06-11 12:00:00,20,11.3
2012-06-11 12:00:00,21,11.2
2012-06-11 12:00:00,22,11.2
2012-06-11 12:00:00,23,11.1
2012-06-11 12:00:00,24,11.1
2012-06-25 12:00:00,0,23.7
2012-06-25 12:00:00,1,23.7
2012-06-25 12:00:00,2,23.6
